Symbol,Company Name,Security Type,Security Price,Sector,Industry,Sub-Industry,Market Capitalization,% Price Change Today,Equity Summary Score from StarMine from Refinitiv
CBIO,Catalyst Biosciences Inc,Common Stock,4.32,Health Care,Biotechnology,Biotechnology,$129.79M,4.34783,
IPIX,Innovation Pharmaceuticals Inc,Common Stock,0.315,Health Care,Biotechnology,Biotechnology,$130.14M,5,
RVVTF,Revive Therapeutics Ltd,Common Stock,0.4121,Health Care,Pharmaceuticals,Pharmaceuticals,$130.64M,-2.70793,
ODT,Odonate Therapeutics Inc,Common Stock,3.43,Health Care,Pharmaceuticals,Pharmaceuticals,$130.92M,0.88235,Bearish
CYCN,Cyclerion Therapeutics Inc,Common Stock,3.36,Health Care,Biotechnology,Biotechnology,$130.96M,3.7037,
ETON,Eton Pharmaceuticals Inc,Common Stock,5.53,Health Care,Pharmaceuticals,Pharmaceuticals,$132.10M,2.5974,
ITRM,Iterum Therapeutics plc,Common Stock,0.7438,Health Care,Pharmaceuticals,Pharmaceuticals,$132.74M,0.37787,
MDNA,Medicenna Therapeutics Corp,Common Stock,2.53,Health Care,Biotechnology,Biotechnology,$133.22M,2.01613,
PYPD,PolyPid Ltd,Common Stock,7.24,Health Care,Pharmaceuticals,Pharmaceuticals,$133.84M,1.40056,
ANIX,Anixa Biosciences Inc,Common Stock,4.81,Health Care,Biotechnology,Biotechnology,$134.48M,7.12695,
INFI,Infinity Pharmaceuticals Inc,Common Stock,2.45,Health Care,Biotechnology,Biotechnology,$134.74M,61.18421,Neutral
SLS,SELLAS Life Sciences Group Inc,Common Stock,8.81,Health Care,Biotechnology,Biotechnology,$134.93M,3.64706,
LOGC,LogicBio Therapeutics Inc,Common Stock,4.23,Health Care,Biotechnology,Biotechnology,$135.07M,0.71429,
PHGE,BiomX Inc,Common Stock,4.67,Health Care,Biotechnology,Biotechnology,$135.62M,-2.9106,
CLXT,Calyxt Inc,Common Stock,3.78,Health Care,Biotechnology,Biotechnology,$135.78M,3.56164,Very Bearish
ENLV,Enlivex Therapeutics Ltd,Common Stock,7.7,Health Care,Biotechnology,Biotechnology,$136.01M,3.63392,
TLLTF,TILT Holdings Inc,Common Stock,0.451,Health Care,Pharmaceuticals,Pharmaceuticals,$136.09M,7.12589,
ATNM,Actinium Pharmaceuticals Inc,Common Stock,6.97,Health Care,Biotechnology,Biotechnology,$136.52M,3.10651,
XFOR,X4 Pharmaceuticals Inc,Common Stock,5.79,Health Care,Biotechnology,Biotechnology,$136.96M,4.70163,
GNPX,Genprex Inc,Common Stock,3.01,Health Care,Biotechnology,Biotechnology,$137.36M,3.7931,
OPTN,Optinose Inc,Common Stock,2.71,Health Care,Pharmaceuticals,Pharmaceuticals,$138.09M,4.23077,Bearish
ASMB,Assembly Biosciences Inc,Common Stock,3.54,Health Care,Biotechnology,Biotechnology,$138.14M,2.90698,
YCBD,cbdMD Inc,Common Stock,2.59,Health Care,Pharmaceuticals,Pharmaceuticals,$138.22M,5.71429,
VYNE,VYNE Therapeutics Inc,Common Stock,2.72,Health Care,Pharmaceuticals,Pharmaceuticals,$139.26M,0.369,
LTRN,Lantern Pharma Inc,Common Stock,12.91,Health Care,Biotechnology,Biotechnology,$140.66M,2.62321,
VRDN,Viridian Therapeutics Inc,Common Stock,16.8,Health Care,Biotechnology,Biotechnology,$140.78M,0.5988,
MTNB,Matinas BioPharma Holdings Inc,Common Stock,0.7265,Health Care,Biotechnology,Biotechnology,$140.96M,5.28986,
ACRX,AcelRx Pharmaceuticals Inc,Common Stock,1.2,Health Care,Pharmaceuticals,Pharmaceuticals,$141.73M,0.84034,Very Bearish
SCYX,SCYNEXIS Inc,Common Stock,7.32,Health Care,Pharmaceuticals,Pharmaceuticals,$142.35M,6.08696,
ATBPF,Antibe Therapeutics Inc,Common Stock,2.72,Health Care,Pharmaceuticals,Pharmaceuticals,$142.45M,-1.44928,
CALA,Calithera Biosciences Inc,Common Stock,1.99,Health Care,Biotechnology,Biotechnology,$142.91M,3.10881,Bearish
GNFT,Genfit SA,Depository Receipt,3.8001,Health Care,Biotechnology,Biotechnology,$143.00M,3.26359,
IMRA,Imara Inc,Common Stock,5.77,Health Care,Pharmaceuticals,Pharmaceuticals,$143.95M,4.71869,
QLI,Qilian International Holding Group Ltd,Common Stock,4.34,Health Care,Pharmaceuticals,Pharmaceuticals,$144.07M,7.69231,
AYLA,Ayala Pharmaceuticals Inc,Common Stock,11.7,Health Care,Biotechnology,Biotechnology,$144.99M,6.84932,
SVRA,Savara Inc,Common Stock,1.31,Health Care,Biotechnology,Biotechnology,$146.60M,1.55039,
MMNFF,MedMen Enterprises Inc,Common Stock,0.2425,Health Care,Pharmaceuticals,Pharmaceuticals,$147.15M,14.92891,
CATB,Catabasis Pharmaceuticals Inc,Common Stock,1.71,Health Care,Biotechnology,Biotechnology,$147.83M,2.39521,
LBPH,Longboard Pharmaceuticals Inc,Common Stock,9.21,Health Care,Pharmaceuticals,Pharmaceuticals,$149.25M,6.22837,
SIOX,Sio Gene Therapies Inc,Common Stock,2.11,Health Care,Biotechnology,Biotechnology,$150.25M,-2.31481,
SCPH,scPharmaceuticals Inc,Common Stock,5.72,Health Care,Pharmaceuticals,Pharmaceuticals,$150.45M,4,Neutral
NOVN,Novan Inc,Common Stock,8.04,Health Care,Pharmaceuticals,Pharmaceuticals,$151.02M,0.12453,
ENSC,Ensysce Biosciences Inc,Common Stock,6.25,Health Care,Biotechnology,Biotechnology,$152.14M,0.16026,
BLRX,Bioline RX Ltd,Depository Receipt,3.28,Health Care,Biotechnology,Biotechnology,$154.12M,0.6135,
GALT,Galectin Therapeutics Inc,Common Stock,2.7,Health Care,Biotechnology,Biotechnology,$154.53M,1.50376,
ADMP,Adamis Pharmaceuticals Corp,Common Stock,1.03,Health Care,Pharmaceuticals,Pharmaceuticals,$154.84M,-0.96154,
TTOO,T2 Biosystems Inc,Common Stock,1.06,Health Care,Biotechnology,Biotechnology,$156.11M,1.92308,
CFRX,ContraFect Corp,Common Stock,4.18,Health Care,Biotechnology,Biotechnology,$156.15M,5.28967,
LRMR,Larimar Therapeutics Inc,Common Stock,10.64,Health Care,Biotechnology,Biotechnology,$158.60M,3.10078,
ARDX,Ardelyx Inc,Common Stock,1.73,Health Care,Biotechnology,Biotechnology,$158.92M,7.45342,Very Bearish
AGTC,Applied Genetic Technologies Corp,Common Stock,3.77,Health Care,Biotechnology,Biotechnology,$159.90M,0.80214,Bearish
MIST,Milestone Pharmaceuticals USA Inc,Common Stock,5.48,Health Care,Pharmaceuticals,Pharmaceuticals,$162.66M,0.55046,
ORPH,Orphazyme A/S,Depository Receipt,4.95,Health Care,Biotechnology,Biotechnology,$163.08M,5.31915,
HTBX,Heat Biologics Inc,Common Stock,6.6,Health Care,Biotechnology,Biotechnology,$163.31M,4.2654,
ANEB,Anebulo Pharmaceuticals Inc,Common Stock,7.1248,Health Care,Pharmaceuticals,Pharmaceuticals,$163.42M,1.78286,
CASI,CASI Pharmaceuticals Inc,Common Stock,1.18,Health Care,Biotechnology,Biotechnology,$163.56M,0.8547,
VTVT,vTv Therapeutics Inc,Common Stock,2.02,Health Care,Biotechnology,Biotechnology,$164.08M,2.53807,
OBSV,ObsEva SA,Common Stock,2.63,Health Care,Biotechnology,Biotechnology,$165.18M,-8.36237,
CBWTF,Auxly Cannabis Group Inc,Common Stock,0.2028,Health Care,Pharmaceuticals,Pharmaceuticals,$167.31M,0.89552,
SGTX,Sigilon Therapeutics Inc,Common Stock,5.67,Health Care,Biotechnology,Biotechnology,$167.74M,6.57895,
STSA,Satsuma Pharmaceuticals Inc,Common Stock,5.31,Health Care,Pharmaceuticals,Pharmaceuticals,$168.05M,-0.37523,
SYBX,Synlogic Inc,Common Stock,3.26,Health Care,Biotechnology,Biotechnology,$168.10M,1.55763,
SBBP,Strongbridge Biopharma PLC,Common Stock,2.57,Health Care,Pharmaceuticals,Pharmaceuticals,$168.30M,3.21285,Neutral
PHAS,PhaseBio Pharmaceuticals Inc,Common Stock,3.56,Health Care,Biotechnology,Biotechnology,$168.31M,1.4245,
EQ,Equillium Inc,Common Stock,5.49,Health Care,Biotechnology,Biotechnology,$169.59M,-5.99315,
APTX,Aptinyx Inc,Common Stock,2.57,Health Care,Biotechnology,Biotechnology,$171.12M,2.39044,
FENC,Fennec Pharmaceuticals Inc,Common Stock,6.61,Health Care,Biotechnology,Biotechnology,$172.14M,-0.15106,Very Bearish
FRLN,Freeline Therapeutics Holdings plc,Depository Receipt,4.75,Health Care,Biotechnology,Biotechnology,$172.77M,-1.45228,
CRBP,Corbus Pharmaceuticals Holdings Inc,Common Stock,1.47,Health Care,Biotechnology,Biotechnology,$173.80M,5.7554,Very Bearish
MRKR,Marker Therapeutics Inc,Common Stock,2.19,Health Care,Biotechnology,Biotechnology,$174.33M,4.28571,
DBTX,Decibel Therapeutics Inc,Common Stock,7.21,Health Care,Biotechnology,Biotechnology,$174.81M,2.70655,
AVEO,AVEO Pharmaceuticals Inc,Common Stock,5.27,Health Care,Biotechnology,Biotechnology,$175.93M,2.92969,
CLGN,CollPlant Biotechnologies Ltd,Common Stock,16.9,Health Care,Biotechnology,Biotechnology,$178.28M,-2.7618,
BFRA,Biofrontera AG,Depository Receipt,6.25,Health Care,Biotechnology,Biotechnology,$178.66M,-0.79365,
MNOV,Medicinova Inc,Common Stock,3.79,Health Care,Biotechnology,Biotechnology,$178.98M,3.26975,
IMNM,Immunome Inc,Common Stock,16.08,Health Care,Biotechnology,Biotechnology,$179.29M,5.44262,
ELEV,Elevation Oncology Inc,Common Stock,8.195,Health Care,Biotechnology,Biotechnology,$182.80M,2.30961,
MYMD,MyMD Pharmaceuticals Inc,Common Stock,4.94,Health Care,Pharmaceuticals,Pharmaceuticals,$182.92M,-0.40323,
HCWB,HCW Biologics Inc,Common Stock,5.2294,Health Care,Biotechnology,Biotechnology,$185.30M,-3.33826,
ONCT,Oncternal Therapeutics Inc,Common Stock,4.04,Health Care,Biotechnology,Biotechnology,$186.12M,7.1618,
ZYNE,Zynerba Pharmaceuticals Inc,Common Stock,4.69,Health Care,Pharmaceuticals,Pharmaceuticals,$186.87M,3.53201,Neutral
ASLN,ASLAN Pharmaceuticals Ltd,Depository Receipt,2.91,Health Care,Biotechnology,Biotechnology,$187.71M,7.77778,
TERN,Terns Pharmaceuticals Inc,Common Stock,8.17,Health Care,Pharmaceuticals,Pharmaceuticals,$189.35M,8.35544,
CABA,Cabaletta Bio Inc,Common Stock,7.8,Health Care,Biotechnology,Biotechnology,$190.70M,1.96078,
LCI,Lannett Co Inc.,Common Stock,4.72,Health Care,Pharmaceuticals,Pharmaceuticals,$191.07M,2.38612,Bullish
GMTX,Gemini Therapeutics Inc,Common Stock,4.44,Health Care,Biotechnology,Biotechnology,$191.16M,0,
PRTG,Portage Biotech Inc,Common Stock,16.36,Health Care,Biotechnology,Biotechnology,$196.83M,0.42971,
JAGX,Jaguar Health Inc,Common Stock,1.52,Health Care,Pharmaceuticals,Pharmaceuticals,$201.86M,3.40136,
TCDA,Tricida Inc,Common Stock,4.09,Health Care,Pharmaceuticals,Pharmaceuticals,$202.10M,1.74129,
CRDF,Cardiff Oncology Inc,Common Stock,5.66,Health Care,Biotechnology,Biotechnology,$203.91M,4.23573,
LBPS,4D Pharma Plc,Depository Receipt,9.452,Health Care,Pharmaceuticals,Pharmaceuticals,$205.34M,3.74387,
UBX,Unity Biotechnology Inc,Common Stock,3.89,Health Care,Biotechnology,Biotechnology,$209.55M,1.83246,
CKPT,Checkpoint Therapeutics Inc,Common Stock,2.75,Health Care,Biotechnology,Biotechnology,$209.84M,3.77358,
BLU,BELLUS Health Inc,Common Stock,2.72,Health Care,Biotechnology,Biotechnology,$211.51M,0.74074,
ADMA,ADMA Biologics Inc,Common Stock,1.61,Health Care,Biotechnology,Biotechnology,$211.51M,-2.42424,
PIRS,Pieris Pharmaceuticals Inc,Common Stock,3.47,Health Care,Biotechnology,Biotechnology,$212.07M,3.58209,Bearish
RPHM,Reneo Pharmaceuticals Inc,Common Stock,8.67,Health Care,Biotechnology,Biotechnology,$214.20M,-1.70068,
TFFP,TFF Pharmaceuticals Inc,Common Stock,8.65,Health Care,Pharmaceuticals,Pharmaceuticals,$214.33M,2.36686,
XERS,Xeris Pharmaceuticals inc,Common Stock,3.34,Health Care,Pharmaceuticals,Pharmaceuticals,$214.35M,3.40557,
ALPN,Alpine Immune Sciences Inc,Common Stock,9.29,Health Care,Biotechnology,Biotechnology,$216.43M,2.65193,Bearish
ATNF,180 Life Sciences Corp,Common Stock,6.95,Health Care,Biotechnology,Biotechnology,$217.84M,-1.83616,
ADMS,Adamas Pharmaceuticals Inc,Common Stock,4.97,Health Care,Biotechnology,Biotechnology,$217.96M,3.54167,
OSMT,Osmotica Pharmaceuticals Plc,Common Stock,3.35,Health Care,Pharmaceuticals,Pharmaceuticals,$218.26M,-3.73563,
SNSE,Sensei Biotherapeutics Inc,Common Stock,7.53,Health Care,Biotechnology,Biotechnology,$219.93M,4.72879,
IMMP,Immutep Ltd,Depository Receipt,3.37,Health Care,Biotechnology,Biotechnology,$220.57M,-0.88235,
SPRB,Spruce Biosciences Inc,Common Stock,9.72,Health Care,Biotechnology,Biotechnology,$221.87M,2.2082,
SRRA,Sierra Oncology Inc,Common Stock,17.51,Health Care,Biotechnology,Biotechnology,$222.42M,-2.77624,
CTIC,CTI BioPharma Corp,Common Stock,2.39,Health Care,Biotechnology,Biotechnology,$223.88M,-0.41667,
GRTX,Galera Therapeutics Inc,Common Stock,9.12,Health Care,Biotechnology,Biotechnology,$225.77M,2.01342,
TCRX,TScan Therapeutics Inc,Common Stock,9.66,Health Care,Biotechnology,Biotechnology,$225.81M,0.625,
ADVM,Adverum Biotechnologies Inc,Common Stock,2.37,Health Care,Biotechnology,Biotechnology,$227.21M,2.15517,Very Bearish
KALA,Kala Pharmaceuticals Inc,Common Stock,3.7,Health Care,Pharmaceuticals,Pharmaceuticals,$228.83M,4.51977,Very Bearish
CLVR,Clever Leaves Holdings Inc,Common Stock,9.98,Health Care,Pharmaceuticals,Pharmaceuticals,$229.59M,8.36048,
BCEL,Atreca Inc,Common Stock,8.21,Health Care,Biotechnology,Biotechnology,$230.26M,7.60157,
IMUX,Immunic Inc,Common Stock,9.15,Health Care,Biotechnology,Biotechnology,$230.99M,3.97727,
TRVN,Trevena Inc,Common Stock,1.45,Health Care,Biotechnology,Biotechnology,$231.96M,2.83688,
CRMD,CorMedix Inc,Common Stock,6.25,Health Care,Pharmaceuticals,Pharmaceuticals,$232.13M,2.45902,
TYME,Tyme Technologies Inc,Common Stock,1.23,Health Care,Biotechnology,Biotechnology,$232.48M,-8.88889,
HROW,Harrow Health Inc,Common Stock,9.22,Health Care,Pharmaceuticals,Pharmaceuticals,$232.59M,5.37143,
CMPX,Compass Therapeutics Inc,Common Stock,4.6,Health Care,Biotechnology,Biotechnology,$233.47M,1.0989,
KLDO,Kaleido BioSciences Inc,Common Stock,5.95,Health Care,Pharmaceuticals,Pharmaceuticals,$233.85M,8.18182,Very Bearish
HOOK,HOOKIPA Pharma Inc,Common Stock,8.26,Health Care,Biotechnology,Biotechnology,$234.04M,5.22293,Bearish
SEEL,Seelos Therapeutics Inc,Common Stock,2.38,Health Care,Pharmaceuticals,Pharmaceuticals,$234.20M,3.47826,
NEXI,Neximmune Inc,Common Stock,10.74,Health Care,Biotechnology,Biotechnology,$234.37M,3.46821,
ACRHF,Acreage Holdings Inc,Common Stock,3.34,Health Care,Pharmaceuticals,Pharmaceuticals,$235.18M,4.375,
APTO,Aptose Biosciences Inc,Common Stock,2.7,Health Care,Biotechnology,Biotechnology,$235.70M,1.88679,Bearish
GTBP,GT Biopharma Inc,Common Stock,11.84,Health Care,Biotechnology,Biotechnology,$235.79M,6.09319,
EYPT,EyePoint Pharmaceuticals Inc,Common Stock,8.55,Health Care,Pharmaceuticals,Pharmaceuticals,$237.40M,3.5109,
ACET,Adicet Bio Inc,Common Stock,7.57,Health Care,Biotechnology,Biotechnology,$238.29M,1.06809,
COGT,Cogent Biosciences Inc,Common Stock,6.31,Health Care,Biotechnology,Biotechnology,$239.29M,1.28411,
FULC,Fulcrum Therapeutics Inc,Common Stock,7.7,Health Care,Pharmaceuticals,Pharmaceuticals,$239.54M,5.04775,Neutral
TNXP,Tonix Pharmaceuticals Holding Corp,Common Stock,0.7355,Health Care,Biotechnology,Biotechnology,$240.43M,0.72583,
KMDA,Kamada Ltd,Common Stock,5.51,Health Care,Biotechnology,Biotechnology,$243.40M,1.28676,
ACHL,Achilles Therapeutics plc,Depository Receipt,6.05,Health Care,Biotechnology,Biotechnology,$244.14M,0.66556,
IPHA,Innate Pharma SA,Depository Receipt,3.23,Health Care,Biotechnology,Biotechnology,$245.79M,3.85852,
MBIO,Mustang Bio Inc,Common Stock,2.86,Health Care,Biotechnology,Biotechnology,$247.10M,1.06007,Neutral
KZR,Kezar Life Sciences Inc,Common Stock,5.14,Health Care,Biotechnology,Biotechnology,$247.18M,0,
PRTK,Paratek Pharmaceuticals Inc,Common Stock,5.52,Health Care,Pharmaceuticals,Pharmaceuticals,$249.66M,3.7594,Very Bearish
OVID,Ovid Therapeutics Inc,Common Stock,3.8,Health Care,Biotechnology,Biotechnology,$252.92M,1.87668,Bullish
SURF,Surface Oncology Inc,Common Stock,6.22,Health Care,Biotechnology,Biotechnology,$253.63M,6.50685,Neutral
CNTG,Centogene NV,Common Stock,11.55,Health Care,Biotechnology,Biotechnology,$256.35M,-0.34513,
PDSB,PDS Biotechnology Corp,Common Stock,10.1,Health Care,Biotechnology,Biotechnology,$257.25M,8.25295,
VINC,Vincerx Inc,Common Stock,15.01,Health Care,Biotechnology,Biotechnology,$258.79M,1.62492,
ABUS,Arbutus Biopharma Corp,Common Stock,2.8,Health Care,Biotechnology,Biotechnology,$260.25M,3.7037,Bearish
CHMA,Chiasma Inc,Common Stock,4.14,Health Care,Pharmaceuticals,Pharmaceuticals,$261.84M,0,
CERC,Cerecor Inc,Common Stock,2.75,Health Care,Pharmaceuticals,Pharmaceuticals,$262.55M,0,
ENOB,Enochian Biosciences Inc,Common Stock,5.02,Health Care,Biotechnology,Biotechnology,$263.40M,-0.98619,
AMPE,Ampio Pharmaceuticals Inc,Common Stock,1.42,Health Care,Pharmaceuticals,Pharmaceuticals,$263.77M,5.97015,
INLB,Item 9 Labs Corp,Common Stock,2.89,Health Care,Pharmaceuticals,Pharmaceuticals,$264.64M,0.69686,
NXTC,NextCure Inc,Common Stock,7.21,Health Care,Biotechnology,Biotechnology,$265.23M,1.5493,
JNCE,JOUNCE THERAPEUTICS INC,Common Stock,5.42,Health Care,Biotechnology,Biotechnology,$265.26M,4.6332,Bearish
FREQ,Frequency Therapeutics Inc,Common Stock,8.02,Health Care,Biotechnology,Biotechnology,$268.96M,2.03562,Bearish
SEOVF,Sernova Corp,Common Stock,1.0496,Health Care,Biotechnology,Biotechnology,$269.04M,1.60697,
MREO,Mereo BioPharma Group Plc,Depository Receipt,2.74,Health Care,Biotechnology,Biotechnology,$269.53M,10.04016,
EIGR,Eiger BioPharmaceuticals Inc,Common Stock,8.26,Health Care,Biotechnology,Biotechnology,$269.91M,3.89937,
IBIO,iBio Inc,Common Stock,1.3,Health Care,Biotechnology,Biotechnology,$270.13M,4.83871,
CBAY,Cymabay Therapeutics Inc,Common Stock,4.1,Health Care,Pharmaceuticals,Pharmaceuticals,$273.22M,3.53535,
CTXR,Citius Pharmaceuticals Inc,Common Stock,1.98,Health Care,Pharmaceuticals,Pharmaceuticals,$274.01M,4.7619,Neutral
AVTE,Aerovate Therapeutics Inc,Common Stock,13.25,Health Care,Biotechnology,Biotechnology,$276.09M,3.54798,
SLGL,Sol Gel Technologies Ltd,Common Stock,12.09,Health Care,Pharmaceuticals,Pharmaceuticals,$276.34M,0.75,
NMTR,9 Meters Biopharma Inc,Common Stock,1.12,Health Care,Pharmaceuticals,Pharmaceuticals,$276.51M,1.81818,
MRMD,MariMed Inc,Common Stock,0.86035,Health Care,Pharmaceuticals,Pharmaceuticals,$277.51M,0.05233,
IMPL,Impel NeuroPharma Inc,Common Stock,12.66,Health Care,Biotechnology,Biotechnology,$281.35M,0.23753,
WVE,Wave Life Sciences Ltd,Common Stock,5.82,Health Care,Pharmaceuticals,Pharmaceuticals,$284.27M,3.00885,Very Bearish
SYRS,Syros Pharmaceuticals Inc,Common Stock,4.88,Health Care,Biotechnology,Biotechnology,$285.17M,5.85683,Bearish
MEIP,MEI Pharma Inc,Common Stock,2.88,Health Care,Biotechnology,Biotechnology,$285.98M,13.38583,Neutral
GMDA,Gamida Cell Ltd,Common Stock,5.23,Health Care,Biotechnology,Biotechnology,$286.15M,7.83505,
TLC,Taiwan Liposome Company Ltd,Depository Receipt,6.9,Health Care,Biotechnology,Biotechnology,$289.08M,0.43668,
INMB,INmune Bio Inc,Common Stock,17.94,Health Care,Biotechnology,Biotechnology,$290.67M,8.99149,
CLSD,Clearside Biomedical Inc,Common Stock,5.12,Health Care,Pharmaceuticals,Pharmaceuticals,$291.93M,0.98619,
CELC,Celcuity Inc,Common Stock,20.48,Health Care,Biotechnology,Biotechnology,$295.12M,0.8867,Neutral
RDHL,Redhill Biopharma Ltd,Depository Receipt,6.61,Health Care,Pharmaceuticals,Pharmaceuticals,$295.74M,4.42338,
VRCA,Verrica Pharmaceuticals Inc,Common Stock,11.1,Health Care,Pharmaceuticals,Pharmaceuticals,$295.75M,2.87303,Neutral
HITI,High Tide Inc,Common Stock,6.13,Health Care,Pharmaceuticals,Pharmaceuticals,$299.34M,4.4293,
FBIO,Fortress Biotech Inc,Common Stock,3.21,Health Care,Biotechnology,Biotechnology,$299.74M,4.22078,Neutral
AVRO,AVROBIO Inc,Common Stock,7.57,Health Care,Biotechnology,Biotechnology,$299.88M,5.43175,Bearish
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Highlighted cells have been user-added and may not meet the criteria included in the screen.,,,,,,,,,
Fidelity does not guarantee the suitability or potential value of any particular investment or information source.,,,,,,,,,
Data and information is provided by third-parties and is for informational purposes only.,,,,,,,,,
All data is historical and is subject to revision or change at any time.,,,,,,,,,
Performance data quoted represents past performance and the return and principal value of an investment will fluctuate,,,,,,,,,
so that an investor's shares when redeemed may be worth more or less than their original cost.,,,,,,,,,
,,,,,,,,,
Fidelity Brokerage Services,,,,,,,,,
Member NYSE SIPC,,,,,,,,,
900 Salem Street,,,,,,,,,
Smithfield RI 02917,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
AS OF 11:12 PM ET 07/28/2021 Quotes delayed at least 15 minutes.,,,,,,,,,
